huc_6,n,huc_pca_ratio,pca_huc_ratio
20503,p120,0.033110522,0.251999471
20503,p119,0.033317349,0.071026693
20503,p122,0.903017285,0.245826938
20503,p123,0.030554845,0.03589084
41501,p127,1,0.047676274
30101,p118,0.285415632,0.231478393
30101,p99,0.357259905,0.136901
30101,p97,0.09904659,0.048960747
30101,p98,0.258277873,0.085138517
60400,p88,0.004611417,0.002942195
60400,p92,0.866743962,0.166372221
60400,p93,0.128644621,0.10563855
80703,p58,1,0.019940013
150400,p28,0.477617803,0.092091175
150400,p31,0.516056157,0.078259782
150400,p29,0.00632604,0.008566726
51301,p110,0.004740334,0.011663948
51301,p109,0.249646479,0.129081199
51301,p93,0.2301871,0.249736051
40201,p46,0.002072796,0.000535357
40201,p74,0.977531653,0.421486639
40201,p75,0.020395551,0.008516647
180200,p9,0.279921813,0.029210967
180200,p8,0.62575188,0.314698808
102701,p54,0.001289721,0.000434209
120401,p64,0.198404433,0.028466895
120401,p67,0.402917796,0.359148014
120401,p66,0.398677771,0.119208876
71200,p104,0.000645611,0.002508452
71200,p105,0.281536395,0.158848211
180701,p10,0.997128522,0.069889763
180701,p9,0.002871478,0.000177739
130600,p47,0.470372003,0.516963492
130600,p31,0.526596125,0.12369751
41100,p122,0.003197568,0.000287907
41100,p111,0.986797662,0.369596668
41100,p112,0.01000477,0.00110972
102802,p54,0.291401887,0.054477357
102802,p71,0.306842356,0.163592855
102802,p72,0.104325397,0.02075814
102802,p70,0.297430359,0.033743407
120302,p64,0.08869691,0.019427929
120302,p66,0.333296832,0.152141275
120302,p63,0.578006258,0.064881305
150802,p30,0.999999992,0.010514135
10802,p129,0.068377666,0.03556674
10802,p130,0.101020033,0.054529536
10802,p132,0.286431785,0.287894091
10802,p131,0.544170515,0.335201419
80101,p85,0.131851105,0.003723072
120702,p61,0.002143598,0.00032673
120702,p63,0.790059676,0.110376944
71401,p81,0.380923552,0.161970712
71401,p73,0.232402635,0.502471145
71401,p84,0.054457822,0.048904815
71401,p72,0.332215991,0.242833799
101302,p36,0.989988693,0.302193323
101302,p38,0.010011307,0.001497737
31402,p90,0.671236845,0.105284257
31402,p91,0.328763155,0.198748262
50100,p119,0.074106349,0.201053381
50100,p122,0.614287815,0.212818858
50100,p115,0.147544657,0.292201399
50100,p127,0.164061179,0.040568713
30802,p102,0.486571276,0.091014844
30802,p101,0.513428721,0.019418066
140300,p34,0.427092534,0.063195371
140300,p33,0.09581665,0.016847427
140300,p25,0.477090816,0.055707838
130100,p34,0.960002454,0.129281843
130100,p31,0.039997546,0.003039245
70900,p79,0.110096852,0.317164334
70900,p80,0.3979893,0.343427496
130401,p31,3.91E-05,6.90E-07
130401,p61,0.540399429,0.019089586
130401,p59,0.459561473,0.810621595
101600,p37,0.239609198,0.13545259
101600,p36,0.067561201,0.04287533
101600,p38,0.6928296,0.215489772
101800,p40,0.024916824,0.015248531
101800,p24,0.651008169,0.640690861
102400,p54,0.270370622,0.223957482
102400,p41,0.19816507,0.384675417
102400,p70,0.111202866,0.055898741
102400,p45,0.304835373,0.190995864
30701,p94,1,0.244204018
40202,p103,0.669149865,0.032269518
40202,p74,0.330850135,0.05748824
180901,p12,0.042681058,0.001822383
180901,p10,0.956911796,0.064417762
180901,p9,0.000407146,2.42E-05
40900,p103,1,0.086489835
80801,p58,1,0.1317883
170602,p15,0.989476225,0.254885806
170602,p14,0.010442289,0.018957042
170602,p17,8.15E-05,3.06E-05
